"File","Path","LineNum","Text","Priority","Category"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","991","Select a country first to load cities","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","891","Select a country first to load cities","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","441","Select a proficiency level.","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","496","Select a proficiency level.","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","791","Select a proficiency level.","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","843","Select a proficiency level.","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1051","Select multiple countries the candidate is open to work in","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","950","Select multiple countries you are open to work in","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","544","Self-Introduction Video","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","417","Skill Name","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","767","Skill Name","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","409","Skills","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","642","Start","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1019","Start","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","848","Start","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1221","Start","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1045","Target Locations","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","944","Target Locations","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1091","Temporary Password","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1068","These credentials will be emailed to the candidate after registration.","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","544","WhatsApp","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","975","Where the candidate is currently living","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","875","Where the candidate is currently living","MEDIUM","Label"
